model,AIC,BIC
"SARIMA (1, 0, 1)(1, 1, 0)[12]",4515.344135,4528.845248
"SARIMA (1, 0, 1)(1, 1, 1)[12]",4485.842031,4502.718423
"SARIMA (1, 0, 1)(1, 1, 2)[12]",4484.319833,4504.571504
"SARIMA (1, 0, 1)(1, 1, 3)[12]",4485.168268,4508.795217
"SARIMA (1, 0, 1)(2, 0, 0)[12]",4813.52281,4830.669538
"SARIMA (1, 0, 1)(2, 0, 1)[12]",4801.534211,4822.110285
"SARIMA (1, 0, 1)(2, 0, 2)[12]",4722.642667,4746.648087
"SARIMA (1, 0, 1)(2, 0, 3)[12]",4803.683639,4831.118404
"SARIMA (1, 0, 1)(2, 1, 0)[12]",4491.250607,4508.126999
"SARIMA (1, 0, 1)(2, 1, 1)[12]",4487.234576,4507.486247
"SARIMA (1, 0, 1)(2, 1, 2)[12]",4484.644021,4508.27097
"SARIMA (1, 0, 1)(2, 1, 3)[12]",4484.211214,4511.213441
"SARIMA (1, 0, 1)(3, 0, 0)[12]",4806.000474,4826.576548
"SARIMA (1, 0, 1)(3, 0, 1)[12]",4717.902521,4741.90794
"SARIMA (1, 0, 1)(3, 0, 2)[12]",4803.611088,4831.045853
"SARIMA (1, 0, 1)(3, 0, 3)[12]",4804.354058,4835.218169
"SARIMA (1, 0, 1)(3, 1, 0)[12]",4491.751297,4512.002968
"SARIMA (1, 0, 1)(3, 1, 1)[12]",4486.736434,4510.363383
"SARIMA (1, 0, 1)(3, 1, 2)[12]",4485.578922,4512.581149
"SARIMA (1, 0, 1)(3, 1, 3)[12]",4487.58513,4517.962635
"SARIMA (1, 0, 2)(0, 0, 0)[12]",4917.271894,4930.989276
"SARIMA (1, 0, 2)(0, 0, 1)[12]",4857.12387,4874.270598
"SARIMA (1, 0, 2)(0, 0, 2)[12]",4846.72358,4867.299654
"SARIMA (1, 0, 2)(0, 0, 3)[12]",4833.677073,4857.682493
"SARIMA (1, 0, 2)(0, 1, 0)[12]",4553.187759,4566.688872
"SARIMA (1, 0, 2)(0, 1, 1)[12]",4486.952395,4503.828787
"SARIMA (1, 0, 2)(0, 1, 2)[12]",4465.565055,4485.816725
"SARIMA (1, 0, 2)(0, 1, 3)[12]",4490.248003,4513.874952
"SARIMA (1, 0, 2)(1, 0, 0)[12]",4822.785186,4839.931914
"SARIMA (1, 0, 2)(1, 0, 1)[12]",4798.917786,4819.49386
"SARIMA (1, 0, 2)(1, 0, 2)[12]",4800.817117,4824.822536
"SARIMA (1, 0, 2)(1, 0, 3)[12]",4802.346837,4829.781602
"SARIMA (1, 0, 2)(1, 1, 0)[12]",4517.848595,4534.724988
"SARIMA (1, 0, 2)(1, 1, 1)[12]",4488.898515,4509.150185
"SARIMA (1, 0, 2)(1, 1, 2)[12]",4487.430669,4511.057618
"SARIMA (1, 0, 2)(1, 1, 3)[12]",4488.291483,4515.293711
"SARIMA (1, 0, 2)(2, 0, 0)[12]",4813.077836,4833.65391
"SARIMA (1, 0, 2)(2, 0, 1)[12]",4800.832163,4824.837582
"SARIMA (1, 0, 2)(2, 0, 2)[12]",4801.282702,4828.717467
"SARIMA (1, 0, 2)(2, 0, 3)[12]",4802.936711,4833.800822
"SARIMA (1, 0, 2)(2, 1, 0)[12]",4494.160804,4514.412475
"SARIMA (1, 0, 2)(2, 1, 1)[12]",4490.288508,4513.915457
"SARIMA (1, 0, 2)(2, 1, 2)[12]",4487.77366,4514.775887
"SARIMA (1, 0, 2)(2, 1, 3)[12]",4487.386372,4517.763878
"SARIMA (1, 0, 2)(3, 0, 0)[12]",4805.408064,4829.413483
"SARIMA (1, 0, 2)(3, 0, 1)[12]",4802.534644,4829.969409
"SARIMA (1, 0, 2)(3, 0, 2)[12]",4802.860661,4833.724771
"SARIMA (1, 0, 2)(3, 0, 3)[12]",4803.773407,4838.066863
"SARIMA (1, 0, 2)(3, 1, 0)[12]",4494.683249,4518.310198
"SARIMA (1, 0, 2)(3, 1, 1)[12]",4489.854984,4516.857212
"SARIMA (1, 0, 2)(3, 1, 2)[12]",4488.749555,4519.12706
"SARIMA (1, 0, 2)(3, 1, 3)[12]",4489.346371,4523.099155
"SARIMA (1, 0, 3)(0, 0, 0)[12]",4919.316034,4936.462762
